,Ano,Distrito,Inscritos,Votantes,Brancos,Nulos,Partido,Votos,Mandatos,Percentual,Abstenção,Inscritos_totais,abstenção_totais,Sondagem
2679,2025,Faro,381108,235351,3401,2650,CDU,7488,0,0.0255,0.382455892,10850615,0.4016,0
2680,2025,Faro,381108,235351,3401,2650,CH,64081,3,0.27,0.382455892,10850615,0.4016,0
2681,2025,Faro,381108,235351,3401,2650,IL,10736,0,0.05,0.382455892,10850615,0.4016,0
2682,2025,Faro,381108,235351,3401,2650,L,6492,0,0.036,0.382455892,10850615,0.4016,0
2683,2025,Faro,381108,235351,3401,2650,PAN,6092,0,0.0021,0.382455892,10850615,0.4016,0
2684,2025,Faro,381108,235351,3401,2650,PS,59856,3,0.2525,0.382455892,10850615,0.4016,0
2685,2025,Guarda,141065,85034,1163,1290,AD,29013,1,0.374,0.397199872,10850615,0.4016,0
2686,2025,Guarda,141065,85034,1163,1290,BE,2299,0,0.0027,0.397199872,10850615,0.4016,0
2687,2025,Guarda,141065,85034,1163,1290,CDU,1331,0,0.017,0.397199872,10850615,0.4016,0
2688,2025,Guarda,141065,85034,1163,1290,CH,15837,1,0.19,0.397199872,10850615,0.4016,0
2689,2025,Guarda,141065,85034,1163,1290,IL,1910,0,0.02,0.397199872,10850615,0.4016,0
2690,2025,Guarda,141065,85034,1163,1290,L,1153,0,0.012,0.397199872,10850615,0.4016,0
2691,2025,Guarda,141065,85034,1163,1290,PAN,822,0,0.0007,0.397199872,10850615,0.4016,0
2692,2025,Guarda,141065,85034,1163,1290,PS,27094,1,0.3232,0.397199872,10850615,0.4016,0
2693,2025,Leiria,412184,273579,5094,3507,AD,96231,5,0.385,0.336269724,10850615,0.4016,0
2694,2025,Leiria,412184,273579,5094,3507,BE,11748,0,0.0036,0.336269724,10850615,0.4016,0
2695,2025,Leiria,412184,273579,5094,3507,CDU,6625,0,0.017,0.336269724,10850615,0.4016,0
2696,2025,Leiria,412184,273579,5094,3507,CH,53820,2,0.2,0.336269724,10850615,0.4016,0
2697,2025,Leiria,412184,273579,5094,3507,IL,15498,0,0.06,0.336269724,10850615,0.4016,0
2698,2025,Leiria,412184,273579,5094,3507,L,7212,0,0.036,0.336269724,10850615,0.4016,0
2699,2025,Leiria,412184,273579,5094,3507,PAN,4655,0,0.0014,0.336269724,10850615,0.4016,0
2700,2025,Leiria,412184,273579,5094,3507,PS,61561,3,0.2323,0.336269724,10850615,0.4016,0
2701,2025,Lisboa,1915287,1319561,15712,13568,AD,356973,14,0.297,0.311037458,10850615,0.4016,0
2702,2025,Lisboa,1915287,1319561,15712,13568,BE,65365,2,0.0045,0.311037458,10850615,0.4016,0
2703,2025,Lisboa,1915287,1319561,15712,13568,CDU,49267,2,0.034,0.311037458,10850615,0.4016,0
2704,2025,Lisboa,1915287,1319561,15712,13568,CH,224642,9,0.17,0.311037458,10850615,0.4016,0
2705,2025,Lisboa,1915287,1319561,15712,13568,IL,86963,3,0.07,0.311037458,10850615,0.4016,0
2706,2025,Lisboa,1915287,1319561,15712,13568,L,72259,2,0.06,0.311037458,10850615,0.4016,0
2707,2025,Lisboa,1915287,1319561,15712,13568,PAN,32825,1,0.0014,0.311037458,10850615,0.4016,0
2708,2025,Lisboa,1915287,1319561,15712,13568,PS,365937,15,0.2828,0.311037458,10850615,0.4016,0
2709,2025,Portalegre,93106,60668,925,614,AD,14134,0,0.253,0.348398599,10850615,0.4016,0
2710,2025,Portalegre,93106,60668,925,614,BE,1894,0,0.0027,0.348398599,10850615,0.4016,0
2711,2025,Portalegre,93106,60668,925,614,CDU,3718,0,0.051,0.348398599,10850615,0.4016,0
2712,2025,Portalegre,93106,60668,925,614,CH,14810,1,0.24,0.348398599,10850615,0.4016,0
2713,2025,Portalegre,93106,60668,925,614,IL,1155,0,0.02,0.348398599,10850615,0.4016,0
2714,2025,Portalegre,93106,60668,925,614,L,873,0,0.012,0.348398599,10850615,0.4016,0
2715,2025,Portalegre,93106,60668,925,614,PAN,506,0,0.0007,0.348398599,10850615,0.4016,0
2716,2025,Portalegre,93106,60668,925,614,PS,20669,1,0.3434,0.348398599,10850615,0.4016,0
2717,2025,Porto,1591760,1114945,14407,10964,AD,339142,14,0.33,0.299552068,10850615,0.4016,0
2718,2025,Porto,1591760,1114945,14407,10964,BE,51917,2,0.0045,0.299552068,10850615,0.4016,0
2719,2025,Porto,1591760,1114945,14407,10964,CDU,26356,1,0.017,0.299552068,10850615,0.4016,0
2720,2025,Porto,1591760,1114945,14407,10964,CH,170936,7,0.15,0.299552068,10850615,0.4016,0
2721,2025,Porto,1591760,1114945,14407,10964,IL,64065,2,0.06,0.299552068,10850615,0.4016,0
2722,2025,Porto,1591760,1114945,14407,10964,L,37321,1,0.036,0.299552068,10850615,0.4016,0
2723,2025,Porto,1591760,1114945,14407,10964,PAN,23421,0,0.0014,0.299552068,10850615,0.4016,0
2724,2025,Porto,1591760,1114945,14407,10964,PS,338110,13,0.303,0.299552068,10850615,0.4016,0
2725,2025,Santarém,377261,251061,3868,2815,AD,68519,3,0.297,0.334516422,10850615,0.4016,0
2726,2025,Santarém,377261,251061,3868,2815,BE,11207,0,0.0036,0.334516422,10850615,0.4016,0
2727,2025,Santarém,377261,251061,3868,2815,CDU,10346,0,0.034,0.334516422,10850615,0.4016,0
2728,2025,Santarém,377261,251061,3868,2815,PAN,3930,0,0.0014,0.334516422,10850615,0.4016,0
2729,2025,Santarém,377261,251061,3868,2815,PS,69948,3,0.2828,0.334516422,10850615,0.4016,0
2730,2025,Santarém,377261,251061,3868,2815,CH,58588,3,0.23,0.334516422,10850615,0.4016,0
2731,2025,Santarém,377261,251061,3868,2815,IL,9497,0,0.04,0.334516422,10850615,0.4016,0
2732,2025,Santarém,377261,251061,3868,2815,L,6190,0,0.024,0.334516422,10850615,0.4016,0
2733,2025,Setúbal,749090,502601,6253,4945,AD,86320,4,0.187,0.329051249,10850615,0.4016,0
2734,2025,Setúbal,749090,502601,6253,4945,BE,30165,1,0.0054,0.329051249,10850615,0.4016,0
2735,2025,Setúbal,749090,502601,6253,4945,CDU,38848,1,0.068,0.329051249,10850615,0.4016,0
2736,2025,Setúbal,749090,502601,6253,4945,CH,102120,4,0.2,0.329051249,10850615,0.4016,0
2737,2025,Setúbal,749090,502601,6253,4945,IL,26952,1,0.05,0.329051249,10850615,0.4016,0
2738,2025,Setúbal,749090,502601,6253,4945,L,21553,1,0.048,0.329051249,10850615,0.4016,0
2739,2025,Setúbal,749090,502601,6253,4945,PAN,12865,0,0.0021,0.329051249,10850615,0.4016,0
2740,2025,Setúbal,749090,502601,6253,4945,PS,157200,7,0.3131,0.329051249,10850615,0.4016,0
2741,2025,Viana do Castelo,233491,142917,2682,1534,AD,49616,2,0.385,0.387912168,10850615,0.4016,0
2742,2025,Viana do Castelo,233491,142917,2682,1534,BE,4926,0,0.0027,0.387912168,10850615,0.4016,0
2743,2025,Viana do Castelo,233491,142917,2682,1534,CDU,3106,0,0.017,0.387912168,10850615,0.4016,0
2744,2025,Viana do Castelo,233491,142917,2682,1534,CH,26639,1,0.19,0.387912168,10850615,0.4016,0
2745,2025,Viana do Castelo,233491,142917,2682,1534,IL,5106,0,0.04,0.387912168,10850615,0.4016,0
2746,2025,Viana do Castelo,233491,142917,2682,1534,L,2815,0,0.024,0.387912168,10850615,0.4016,0
2747,2025,Viana do Castelo,233491,142917,2682,1534,PAN,2057,0,0.0007,0.387912168,10850615,0.4016,0
2748,2025,Viana do Castelo,233491,142917,2682,1534,PS,40237,2,0.2828,0.387912168,10850615,0.4016,0
2749,2025,Vila Real,207989,117058,1494,1527,AD,46046,2,0.429,0.43719139,10850615,0.4016,0
2750,2025,Vila Real,207989,117058,1494,1527,BE,2865,0,0.0018,0.43719139,10850615,0.4016,0
2751,2025,Vila Real,207989,117058,1494,1527,CDU,1600,0,0.0085,0.43719139,10850615,0.4016,0
2752,2025,Vila Real,207989,117058,1494,1527,CH,20038,1,0.17,0.43719139,10850615,0.4016,0
2753,2025,Vila Real,207989,117058,1494,1527,IL,2380,0,0.02,0.43719139,10850615,0.4016,0
2754,2025,Vila Real,207989,117058,1494,1527,L,1592,0,0.012,0.43719139,10850615,0.4016,0
2755,2025,Vila Real,207989,117058,1494,1527,PAN,1062,0,0.0007,0.43719139,10850615,0.4016,0
2756,2025,Vila Real,207989,117058,1494,1527,PS,34660,2,0.303,0.43719139,10850615,0.4016,0
2757,2025,Viseu,335659,211590,3302,2595,AD,76938,3,0.396,0.369628105,10850615,0.4016,0
2758,2025,Viseu,335659,211590,3302,2595,BE,5846,0,0.0027,0.369628105,10850615,0.4016,0
2759,2025,Viseu,335659,211590,3302,2595,CDU,2905,0,0.0085,0.369628105,10850615,0.4016,0
2760,2025,Viseu,335659,211590,3302,2595,CH,41165,2,0.19,0.369628105,10850615,0.4016,0
2761,2025,Viseu,335659,211590,3302,2595,IL,5950,0,0.03,0.369628105,10850615,0.4016,0
2762,2025,Viseu,335659,211590,3302,2595,L,3567,0,0.024,0.369628105,10850615,0.4016,0
2763,2025,Viseu,335659,211590,3302,2595,PAN,2555,0,0.0007,0.369628105,10850615,0.4016,0
2764,2025,Viseu,335659,211590,3302,2595,PS,58088,3,0.2727,0.369628105,10850615,0.4016,0
2765,2025,Açores,230082,106277,2621,1056,AD,42352,2,0.44,0.538090768,10850615,0.4016,0
2766,2025,Açores,230082,106277,2621,1056,BE,3622,0,0.0027,0.538090768,10850615,0.4016,0
2767,2025,Açores,230082,106277,2621,1056,CDU,1161,0,0.0085,0.538090768,10850615,0.4016,0
2768,2025,Açores,230082,106277,2621,1056,CH,16749,1,0.16,0.538090768,10850615,0.4016,0
2769,2025,Açores,230082,106277,2621,1056,IL,2882,0,0.03,0.538090768,10850615,0.4016,0
2770,2025,Açores,230082,106277,2621,1056,L,1817,0,0.024,0.538090768,10850615,0.4016,0
2771,2025,Açores,230082,106277,2621,1056,PAN,1659,0,0.0014,0.538090768,10850615,0.4016,0
2772,2025,Açores,230082,106277,2621,1056,PS,31016,2,0.2929,0.538090768,10850615,0.4016,0
2773,2025,Madeira,254502,149808,794,2703,AD,53440,3,0.396,0.411368084,10850615,0.4016,0
2774,2025,Madeira,254502,149808,794,2703,BE,4404,0,0.0027,0.411368084,10850615,0.4016,0
2775,2025,Madeira,254502,149808,794,2703,CDU,2429,0,0.017,0.411368084,10850615,0.4016,0
2776,2025,Madeira,254502,149808,794,2703,CH,26304,1,0.18,0.411368084,10850615,0.4016,0
2777,2025,Madeira,254502,149808,794,2703,IL,5827,0,0.04,0.411368084,10850615,0.4016,0
2778,2025,Madeira,254502,149808,794,2703,L,1864,0,0.012,0.411368084,10850615,0.4016,0
2779,2025,Madeira,254502,149808,794,2703,PAN,3127,0,0.0014,0.411368084,10850615,0.4016,0
2780,2025,Madeira,254502,149808,794,2703,PS,29725,2,0.202,0.411368084,10850615,0.4016,0
2781,2025,Europa,937311,238605,1381,94261,AD,33351,0,0.154,0.74543668,10850615,0.4016,0
2782,2025,Europa,937311,238605,1381,94261,BE,6438,0,0.0027,0.74543668,10850615,0.4016,0
2783,2025,Europa,937311,238605,1381,94261,CDU,2363,0,0.0085,0.74543668,10850615,0.4016,0
2784,2025,Europa,937311,238605,1381,94261,CH,42975,1,0.18,0.74543668,10850615,0.4016,0
2785,2025,Europa,937311,238605,1381,94261,IL,5719,0,0.02,0.74543668,10850615,0.4016,0
2786,2025,Europa,937311,238605,1381,94261,L,4091,0,0.024,0.74543668,10850615,0.4016,0
2787,2025,Europa,937311,238605,1381,94261,PAN,5175,0,0.0014,0.74543668,10850615,0.4016,0
2788,2025,Europa,937311,238605,1381,94261,PS,38063,1,0.1616,0.74543668,10850615,0.4016,0
2789,2025,Fora da Europa,609436,98360,487,31980,AD,22470,1,0.253,0.838604874,10850615,0.4016,0
2790,2025,Fora da Europa,609436,98360,487,31980,BE,1844,0,0.0018,0.838604874,10850615,0.4016,0
2791,2025,Fora da Europa,609436,98360,487,31980,CDU,742,0,0.0085,0.838604874,10850615,0.4016,0
2792,2025,Fora da Europa,609436,98360,487,31980,PAN,2328,0,0.0014,0.838604874,10850615,0.4016,0
2793,2025,Fora da Europa,609436,98360,487,31980,PS,14343,0,0.1515,0.838604874,10850615,0.4016,0
2794,2025,Fora da Europa,609436,98360,487,31980,CH,17862,1,0.18,0.838604874,10850615,0.4016,0
2795,2025,Fora da Europa,609436,98360,487,31980,IL,1901,0,0.02,0.838604874,10850615,0.4016,0
2796,2025,Fora da Europa,609436,98360,487,31980,L,697,0,0.012,0.838604874,10850615,0.4016,0
2797,2025, Totais,10813643,6476952,89847,192396,AD,1867442,80,0.319,0.401038854,10850615,0.4016,34
2798,2025, Totais,10813643,6476952,89847,192396,BE,282314,5,0.0036,0.401038854,10850615,0.4016,2
2799,2025, Totais,10813643,6476952,89847,192396,CDU,205551,4,0.0255,0.401038854,10850615,0.4016,3
2800,2025, Totais,10813643,6476952,89847,192396,CH,1169781,50,0.18,0.401038854,10850615,0.4016,19
2801,2025, Totais,10813643,6476952,89847,192396,IL,319877,8,0.05,0.401038854,10850615,0.4016,7
2802,2025, Totais,10813643,6476952,89847,192396,L,204875,4,0.036,0.401038854,10850615,0.4016,5
2803,2025, Totais,10813643,6476952,89847,192396,PAN,126125,1,0.0014,0.401038854,10850615,0.4016,1
2804,2025, Totais,10813643,6476952,89847,192396,PS,1812443,78,0.2828,0.401038854,10850615,0.4016,26
