Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Percentual;Abstenção;Inscritos_totais;abstenção_totais;Sondagem;Cor
Histórico;Bragança;132779,0;62051,0;1436,0;1415,0;PS;19244,0;1,0;0,31010000000000004;0,5112;10850615;0,44;0,0;#F1515E
Histórico;Bragança;132779,0;62051,0;1436,0;1415,0;CH;8115,0;0,0;0,1308;0,5112;10850615;0,44;0,0;#202056
Histórico;Bragança;132779,0;62051,0;1436,0;1415,0;BE;2249,0;0,0;0,0362;0,5112;10850615;0,44;0,0;#AB1983
Histórico;Bragança;132779,0;62051,0;1436,0;1415,0;IL;2011,0;0,0;0,032400000000000005;0,5112;10850615;0,44;0,0;#00AEEF
Histórico;Bragança;132779,0;62051,0;1436,0;1415,0;CDU;1966,0;0,0;0,0317;0,5112;10850615;0,44;0,0;#950B0B
Histórico;Bragança;132779,0;62051,0;1436,0;1415,0;Outros;1917,0;0,0;0,030899999999999997;0,5112;10850615;0,44;0,0;#ebedf0
Histórico;Bragança;132779,0;62051,0;1436,0;1415,0;L;1158,0;0,0;0,0187;0,5112;10850615;0,44;0,0;#00AB39
Histórico;Bragança;132779,0;62051,0;1436,0;1415,0;PAN;1080,0;0,0;0,0174;0,5112;10850615;0,44;0,0;#01796F
Histórico;Bragança;132779,0;62051,0;1436,0;1415,0;JPP;244,0;0,0;0,0039000000000000003;0,5112;10850615;0,44;0,0;#009285
Histórico;Castelo Branco;162590,0;97614,0;2943,0;2297,0;PS;34501,0;2,0;0,35340000000000005;0,3674;10850615;0,44;0,0;#F1515E
Histórico;Castelo Branco;162590,0;97614,0;2943,0;2297,0;AD;27127,0;2,0;0,2779;0,3674;10850615;0,44;0,0;#FF890C
Histórico;Castelo Branco;162590,0;97614,0;2943,0;2297,0;CH;13511,0;0,0;0,1384;0,3674;10850615;0,44;0,0;#202056
Histórico;Castelo Branco;162590,0;97614,0;2943,0;2297,0;BE;6527,0;0,0;0,0669;0,3674;10850615;0,44;0,0;#AB1983
Histórico;Castelo Branco;162590,0;97614,0;2943,0;2297,0;CDU;4919,0;0,0;0,0504;0,3674;10850615;0,44;0,0;#950B0B
Histórico;Castelo Branco;162590,0;97614,0;2943,0;2297,0;IL;4044,0;0,0;0,0414;0,3674;10850615;0,44;0,0;#00AEEF
Histórico;Castelo Branco;162590,0;97614,0;2943,0;2297,0;Outros;3254,0;0,0;0,0333;0,3674;10850615;0,44;0,0;#ebedf0
Histórico;Castelo Branco;162590,0;97614,0;2943,0;2297,0;L;1951,0;0,0;0,02;0,3674;10850615;0,44;0,0;#00AB39
Histórico;Castelo Branco;162590,0;97614,0;2943,0;2297,0;PAN;1779,0;0,0;0,0182;0,3674;10850615;0,44;0,0;#01796F
Histórico;Coimbra;370800,0;225328,0;8155,0;3755,0;PS;75639,0;4,0;0,3357;0,3602;10850615;0,44;0,0;#F1515E
Histórico;Coimbra;370800,0;225328,0;8155,0;3755,0;AD;67628,0;4,0;0,30010000000000003;0,3602;10850615;0,44;0,0;#FF890C
Histórico;Coimbra;370800,0;225328,0;8155,0;3755,0;CH;26025,0;1,0;0,1155;0,3602;10850615;0,44;0,0;#202056
Histórico;Coimbra;370800,0;225328,0;8155,0;3755,0;BE;15577,0;0,0;0,0691;0,3602;10850615;0,44;0,0;#AB1983
Histórico;Coimbra;370800,0;225328,0;8155,0;3755,0;CDU;13331,0;0,0;0,0592;0,3602;10850615;0,44;0,0;#950B0B
Histórico;Coimbra;370800,0;225328,0;8155,0;3755,0;IL;8922,0;0,0;0,039599999999999996;0,3602;10850615;0,44;0,0;#00AEEF
Histórico;Coimbra;370800,0;225328,0;8155,0;3755,0;L;6845,0;0,0;0,0304;0,3602;10850615;0,44;0,0;#00AB39
Histórico;Coimbra;370800,0;225328,0;8155,0;3755,0;Outros;5765,0;0,0;0,0256;0,3602;10850615;0,44;0,0;#ebedf0
Histórico;Coimbra;370800,0;225328,0;8155,0;3755,0;PAN;3942,0;0,0;0,0175;0,3602;10850615;0,44;0,0;#01796F
